ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Fixed Tiered Prices",Brands
1,external,AMPHENOL-CIRC-MIL,,"Circular MIL-Spec Connectors",1,1,visible,"Amphenol circular MIL-spec connectors for defence, aerospace, and harsh environment applications.","Amphenol circular MIL-spec connectors for defence, aerospace, and harsh environment applications. Highlights: MIL-DTL-38999 and MIL-DTL-26482 series; Harsh environment rated; Multiple shell sizes and contact arrangements.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — Connectors","Amphenol, Electronics Components, Defense, Telecommunications, Railways",,,,,,,,https://www.amphenol-cs.com/product-series/sheerpwr-circular.html,"View on Amphenol",0,,Amphenol
2,external,AMPHENOL-IND-CIRC,,"Industrial Circular Connectors",1,1,visible,"Amphenol industrial circular connectors — robust, reliable connectivity for factory automation, industrial control and power distribution.","Amphenol industrial circular connectors — robust, reliable connectivity for factory automation, industrial control and power distribution. Highlights: IP67/IP68 rated options; Multiple pin configurations; Screw, bayonet and push-pull locking.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — Connectors","Amphenol, Electronics Components, Industrial Automation, Power & Energy, EV Charging",,,,,,,,https://www.amphenol-cs.com/product-series/single-pair-ethernet-ip67.html,"View on Amphenol",0,,Amphenol
3,external,AMPHENOL-DSUB,,"D-Sub Connectors",1,0,visible,"Amphenol D-subminiature connectors for data, signal and mixed-layout applications. Available in standard, high-density and filtered configurations.","Amphenol D-subminiature connectors for data, signal and mixed-layout applications. Available in standard, high-density and filtered configurations. Highlights: Standard and high-density pin configurations; Solder cup, crimp and PCB mount options; EMI filtered variants available.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — Connectors","Amphenol, Electronics Components, Telecommunications, Industrial Automation, Defense",,,,,,,,https://www.amphenol-cs.com/connectors/d-sub.html,"View on Amphenol",0,,Amphenol
4,external,AMPHENOL-PCB,,"PCB Connectors & Headers",1,0,visible,"Amphenol board-to-board, wire-to-board and PCB header connectors for high-speed data, power and mixed-signal applications.","Amphenol board-to-board, wire-to-board and PCB header connectors for high-speed data, power and mixed-signal applications. Highlights: Board-to-board and wire-to-board; High-speed differential pairs; Multiple pitch options.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — Connectors","Amphenol, Electronics Components, Consumer Electronics, Telecommunications, Industrial Automation",,,,,,,,https://www.amphenol-cs.com/product-series/paladin.html,"View on Amphenol",0,,Amphenol
5,external,AMPHENOL-GNSS-ANT,,"GNSS Antennas",1,1,visible,"Amphenol high-precision GNSS antennas for GPS, GLONASS, Galileo and BeiDou navigation and timing applications.","Amphenol high-precision GNSS antennas for GPS, GLONASS, Galileo and BeiDou navigation and timing applications. Highlights: Multi-band GNSS support; High-gain integrated LNA; IP67 weatherproof options.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — Antennas","Amphenol, Electronics Components, Telecommunications, Railways, Automotive, Defense",,,,,,,,https://www.amphenol-cs.com/product-series/gnss.html,"View on Amphenol",0,,Amphenol
6,external,AMPHENOL-CELL-ANT,,"4G/5G Cellular Antennas",1,1,visible,"Amphenol 4G LTE and 5G wideband cellular antennas for IoT gateways, routers, telematics and industrial communication systems.","Amphenol 4G LTE and 5G wideband cellular antennas for IoT gateways, routers, telematics and industrial communication systems. Highlights: Wideband 600 MHz to 6 GHz coverage; Low-profile puck and panel styles; Outdoor and indoor variants.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — Antennas","Amphenol, Electronics Components, Telecommunications, EV Charging, Industrial Automation",,,,,,,,https://www.amphenol-cs.com/product-series/cellular.html,"View on Amphenol",0,,Amphenol
7,external,AMPHENOL-WIFI-ANT,,"Wi-Fi & Bluetooth Dipoles",1,0,visible,"Amphenol dual-band Wi-Fi and Bluetooth antennas — articulated rubber duck and terminal antennas for industrial gateways and wireless APs.","Amphenol dual-band Wi-Fi and Bluetooth antennas — articulated rubber duck and terminal antennas for industrial gateways and wireless APs. Highlights: 2.4 GHz and 5.8 GHz dual-band; High gain articulated dipole; SMA / RP-SMA connector options.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — Antennas","Amphenol, Electronics Components, Consumer Electronics, Industrial Automation, Telecommunications",,,,,,,,https://www.amphenol-cs.com/product-series/wi-fi-bluetooth.html,"View on Amphenol",0,,Amphenol
8,external,AMPHENOL-FPC-ANT,,"Internal Embedded FPC Antennas",1,0,visible,"Ultra-thin flexible peel-and-stick FPC antennas with IPEX micro coaxial leads for compact IoT, smart meters, and tracking devices.","Ultra-thin flexible peel-and-stick FPC antennas with IPEX micro coaxial leads for compact IoT, smart meters, and tracking devices. Highlights: NB-IoT / LoRa / LTE-M / Embedded frequencies; Peel-and-stick 3M adhesive backing; IPEX / U.FL micro-coaxial connectors.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — Antennas","Amphenol, Electronics Components, Consumer Electronics, Industrial Automation, Telecommunications",,,,,,,,https://www.amphenol-cs.com/product-series/embedded-antenna.html,"View on Amphenol",0,,Amphenol
9,external,AMPHENOL-RF-CONN,,"RF & Coaxial Connectors",1,1,visible,"Amphenol RF connectors — SMA, BNC, N-Type, TNC and specialty coaxial connectors for high-frequency signal integrity.","Amphenol RF connectors — SMA, BNC, N-Type, TNC and specialty coaxial connectors for high-frequency signal integrity. Highlights: SMA, BNC, N-Type, TNC series; 50Ω and 75Ω impedance options; High frequency performance.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — RF & Coaxial","Amphenol, Electronics Components, Telecommunications, Defense, Automotive",,,,,,,,https://www.amphenol-cs.com/product-series/filter-rf-bnc.html,"View on Amphenol",0,,Amphenol
10,external,AMPHENOL-RF-CABLE,,"RF Cable Assemblies",1,0,visible,"Amphenol precision RF cable assemblies with tested VSWR performance for telecom infrastructure, test labs and defence systems.","Amphenol precision RF cable assemblies with tested VSWR performance for telecom infrastructure, test labs and defence systems. Highlights: Low-loss and ultra-flexible options; Custom lengths available; Factory tested to tight VSWR specs.",,,,taxable,,1,100,,0,0,,,,,1,,,,,"Electronics Components > Amphenol — RF & Coaxial","Amphenol, Electronics Components, Telecommunications, Defense",,,,,,,,https://www.amphenol-cs.com/catalogsearch/result?query=coaxial,"View on Amphenol",0,,Amphenol
